ID,Age,Income,Experience_Years,Education_Level,City,Work_Hours_Per_Week,Remote_Work,Productivity_Score
1000,55,533.99,5,PhD,Valparaiso,52,no,175.1
1001,52,876.77,37,,Valparaíso,40,yes,314.91
1002,68,767.15,16,High School,,58,No,249.59
1003,32,594.22,9,Bachelors,Valparaiso,50,Yes,215.24
1004,42,758.96,26,,Santiago,57,No,204.41
1005,54,917.5,34,Bachelor,Concepcion,21,No,323.76
1006,45,1278.68,20,Bachelors,Santiago,46,no,414.96
1007,27,1053.02,24,Master,Concepcion,55,No,245.02
1008,56,,27,PhD,Concepción,30,No,69.57
1009,34,859.83,14,,Valparaíso,37,no,275.61
1010,56,,3,bachelor,Valparaiso,20,no,329.24
1011,39,465.53,28,phd,Valparaiso,54,Yes,110.28
1012,43,,8,PhD,Valparaiso,54,yes,337.99
1013,61,740.84,26,High School,Concepción,50,No,228.58
1014,42,1087.57,25,High School,Concepcion,47,no,333.52
1015,34,901.06,18,phd,Valparaiso,58,Yes,228.45
1016,30,579.0,27,Master,,20,yes,164.83
1017,37,,16,,Valparaiso,44,no,197.2
1018,42,764.58,19,Master,Concepción,57,yes,259.84
1019,21,769.21,39,phd,Valparaíso,39,yes,257.6
1020,27,1079.82,38,Master,Santiago,22,No,321.43
1021,20,589.35,22,PhD,Valparaiso,21,No,200.42
1022,58,1050.76,31,bachelor,Valparaiso,37,no,315.72
1023,62,,32,Master,santiago,29,yes,234.57
1024,35,855.88,4,PhD,,24,no,260.86
1025,64,,33,bachelor,Santiago,28,no,268.94
1026,53,794.55,39,High School,santiago,21,yes,262.65
1027,64,796.6,10,Bachelors,Valparaíso,53,no,246.01
1028,39,1164.34,2,phd,Concepcion,57,yes,376.58
1029,51,1010.61,32,High School,,50,yes,328.4
1030,64,,10,Bachelors,Valparaiso,29,yes,201.89
1031,25,1195.7,15,High School,Santiago,31,yes,357.07
1032,57,868.67,17,Bachelor,Valparaiso,55,Yes,295.01
1033,66,889.41,29,,Concepcion,40,yes,276.7
1034,61,590.67,9,PhD,Valparaiso,25,No,165.48
1035,36,675.63,17,bachelor,,22,No,187.85
1036,59,627.87,37,High School,Concepción,29,No,209.25
1037,58,821.52,18,Master,,24,yes,225.01
1038,54,959.7,35,Bachelors,Valparaíso,45,No,334.95
1039,23,891.81,12,High School,Concepción,40,Yes,234.41
1040,69,1197.01,2,,Concepcion,45,no,395.45
1041,43,578.06,9,PhD,Concepcion,57,yes,157.96
1042,51,828.72,37,,Santiago,45,No,225.81
1043,62,,0,Bachelors,,27,Yes,144.06
1044,23,569.53,26,phd,Valparaíso,24,no,150.47
1045,54,1116.14,7,,santiago,34,Yes,332.57
1046,50,684.21,16,,santiago,35,No,188.94
1047,39,599.16,8,bachelor,Concepción,20,Yes,208.1
1048,38,267.51,5,bachelor,,35,no,79.86
1049,23,596.66,24,PhD,santiago,56,No,144.14
1050,23,748.68,38,,Concepción,22,no,221.29
1051,65,460.65,27,PhD,Valparaiso,50,Yes,162.84
1052,21,734.3,32,High School,santiago,32,yes,268.5
1053,47,1117.66,36,Master,Valparaíso,35,yes,344.94
1054,28,623.17,8,bachelor,Valparaiso,40,yes,151.62
1055,47,564.15,17,Bachelors,Concepción,21,yes,205.17
1056,48,519.02,20,phd,Concepcion,46,no,177.52
1057,41,514.56,1,PhD,Santiago,57,yes,182.66
1058,26,933.89,37,High School,santiago,45,no,298.37
1059,20,812.17,39,,Concepcion,57,No,236.13
1060,68,1039.21,35,phd,Concepción,44,yes,335.97
1061,48,1304.96,36,phd,Valparaíso,30,no,413.28
1062,57,342.4,14,bachelor,Santiago,27,yes,87.07
1063,54,895.02,27,PhD,Concepcion,27,yes,282.57
1064,53,520.35,17,phd,Santiago,52,yes,148.35
1065,41,997.22,33,Master,santiago,26,no,332.77
1066,48,732.02,21,Master,Concepción,57,Yes,233.47
1067,23,806.83,10,PhD,Valparaíso,40,yes,207.5
1068,19,479.21,12,High School,Concepción,27,yes,109.79
1069,37,693.39,3,phd,Santiago,40,No,198.82
1070,45,822.42,21,bachelor,Concepcion,39,Yes,250.41
1071,28,1139.02,6,bachelor,santiago,27,no,362.14
1072,21,601.36,23,High School,santiago,50,No,197.31
1073,32,662.33,3,bachelor,Concepción,48,yes,234.36
1074,23,1036.07,27,,Concepcion,28,No,304.71
1075,66,585.16,14,PhD,Concepcion,34,No,160.02
1076,47,1085.6,0,bachelor,Santiago,49,yes,287.09
1077,55,797.73,2,Master,,45,Yes,253.8
1078,68,875.78,13,phd,Concepción,29,Yes,264.09
1079,19,891.88,37,Bachelors,Valparaiso,48,No,220.86
1080,32,645.94,0,,,35,yes,192.85
1081,28,897.47,37,Bachelors,santiago,55,no,284.72
1082,25,,37,bachelor,Santiago,39,No,188.44
1083,43,674.47,20,Bachelors,Concepcion,56,no,210.04
1084,68,939.67,28,Bachelors,Concepción,41,No,251.09
1085,62,873.35,4,Bachelor,Santiago,26,No,308.04
1086,61,781.26,9,Master,Concepción,42,yes,241.89
1087,22,485.32,27,High School,Concepcion,59,yes,94.09
1088,23,547.71,20,Master,Valparaíso,48,no,164.54
1089,43,,6,,Concepcion,35,no,268.96
1090,21,983.04,2,,Concepcion,57,Yes,251.12
1091,36,522.59,19,Bachelors,Concepcion,47,yes,172.89
1092,37,590.04,18,PhD,Concepción,57,No,225.04
1093,50,,34,phd,Valparaiso,50,No,237.73
1094,37,828.2,3,phd,Concepcion,33,Yes,256.21
1095,66,394.01,4,Bachelors,santiago,52,yes,116.06
1096,29,840.39,0,phd,,28,No,275.57
1097,64,650.41,3,Bachelor,Santiago,46,Yes,184.16
1098,18,1210.26,11,Master,Valparaiso,43,Yes,327.98
1099,43,,26,,Santiago,32,No,292.42
1100,31,905.37,22,High School,santiago,45,No,243.39
1101,55,911.84,24,Bachelors,santiago,48,no,330.22
1102,54,496.52,20,PhD,Valparaíso,47,yes,166.38
1103,28,1285.97,23,Bachelors,Concepcion,47,no,369.92
1104,53,394.27,24,bachelor,santiago,27,Yes,158.14
1105,30,998.93,31,Bachelors,Concepción,42,No,306.5
1106,60,954.67,31,Bachelor,Concepción,48,no,285.66
1107,20,680.75,4,Master,Santiago,24,Yes,181.0
1108,50,966.61,35,,Santiago,26,yes,245.94
1109,23,720.61,38,High School,Concepcion,55,No,242.31
1110,67,631.13,15,phd,Concepcion,46,no,138.8
1111,27,917.39,32,Bachelor,,21,yes,263.22
1112,22,548.36,20,bachelor,Valparaiso,44,no,178.69
1113,40,743.94,8,Bachelor,Santiago,28,Yes,206.56
1114,27,651.46,5,Bachelors,Concepcion,46,yes,193.45
1115,61,716.01,34,Bachelor,Santiago,20,no,191.39
1116,19,908.18,38,Bachelor,Concepcion,42,yes,272.6
1117,30,651.41,21,High School,santiago,29,Yes,205.02
1118,57,751.92,4,bachelor,Santiago,44,yes,190.23
1119,19,674.21,22,Bachelors,santiago,22,no,259.45
1120,37,1161.0,16,PhD,Santiago,25,Yes,332.18
1121,18,885.65,11,High School,Valparaiso,25,No,307.55
1122,54,855.02,22,PhD,Valparaíso,21,no,258.27
1123,26,970.85,15,High School,Concepción,37,no,244.3
1124,34,651.47,2,Master,Concepción,42,Yes,153.93
1125,26,,29,High School,Concepción,21,Yes,320.03
1126,28,886.54,21,phd,,31,No,301.25
1127,32,409.78,8,Bachelor,Concepcion,41,no,171.83
1128,41,442.99,28,Master,Concepción,56,Yes,139.54
1129,55,656.93,36,bachelor,,39,No,171.96
1130,52,469.75,22,PhD,Concepción,58,No,148.68
1131,47,740.43,12,High School,,43,Yes,194.77
1132,48,546.57,31,Bachelor,santiago,39,no,183.44
1133,66,775.57,22,bachelor,Santiago,20,yes,211.43
1134,22,1152.93,16,phd,Santiago,20,yes,287.19
1135,61,,39,bachelor,Santiago,36,No,288.1
1136,67,724.26,20,Bachelor,Valparaíso,20,yes,216.49
1137,31,897.06,1,phd,Valparaíso,49,yes,261.31
1138,28,625.9,36,bachelor,Concepcion,22,Yes,231.27
1139,26,,5,,santiago,30,No,356.12
1140,51,923.8,17,High School,Valparaiso,43,no,298.64
1141,29,809.72,29,High School,Valparaiso,41,No,252.31
1142,52,838.58,21,Bachelor,Valparaiso,45,Yes,266.96
1143,52,1310.44,32,Bachelor,Santiago,32,yes,393.89
1144,18,1035.58,29,phd,,20,no,322.26
1145,57,1349.88,16,Bachelors,santiago,43,No,408.71
1146,39,933.01,31,Master,Santiago,29,yes,266.0
1147,46,432.08,13,bachelor,Valparaíso,54,No,125.96
1148,25,734.46,9,bachelor,Valparaíso,43,no,227.25
1149,28,374.95,35,Bachelors,Concepción,47,No,136.1
1150,58,932.08,33,Bachelors,Concepción,55,No,298.24
1151,54,,8,Bachelors,santiago,35,No,252.73
1152,31,578.52,27,PhD,,59,yes,212.13
1153,47,636.09,10,PhD,santiago,35,no,223.22
1154,52,837.19,13,phd,Santiago,36,no,247.57
1155,38,500.47,38,,Concepcion,34,yes,176.01
1156,54,481.71,18,High School,santiago,35,yes,140.02
1157,22,1109.66,14,High School,Concepción,34,yes,355.66
1158,36,828.68,27,Bachelor,Concepcion,53,Yes,227.08
1159,31,660.47,23,phd,Santiago,30,No,243.91
1160,43,376.97,7,bachelor,Concepcion,20,No,133.66
1161,21,1013.09,8,Master,Valparaiso,34,no,322.89
1162,42,628.87,32,Bachelor,Concepcion,45,No,192.51
1163,62,1265.17,32,bachelor,santiago,23,Yes,348.57
1164,59,,18,bachelor,Santiago,24,yes,335.17
1165,42,597.96,2,,santiago,54,no,128.2
1166,35,621.13,9,Bachelors,Concepción,32,no,211.32
1167,57,1230.46,39,Bachelors,Valparaiso,29,No,359.67
1168,25,778.94,0,Bachelor,Concepción,30,no,180.07
1169,56,,28,Bachelors,santiago,37,yes,208.13
1170,57,806.93,33,bachelor,santiago,53,no,283.46
1171,31,670.52,12,Bachelors,santiago,58,yes,166.59
1172,49,860.26,0,PhD,Valparaíso,42,Yes,297.65
1173,68,781.04,33,Bachelors,Valparaiso,26,Yes,265.31
1174,55,1018.88,28,bachelor,santiago,58,yes,312.77
1175,50,702.86,12,phd,santiago,22,No,199.39
1176,40,578.8,28,Bachelor,Concepción,31,no,170.46
1177,32,712.75,38,Master,Concepción,26,No,240.53
1178,50,711.23,23,Bachelors,santiago,45,no,241.25
1179,42,780.62,25,High School,Santiago,52,Yes,218.48
1180,34,,16,High School,,56,Yes,260.2
1181,50,944.98,6,bachelor,Concepción,34,Yes,273.28
1182,64,1099.91,12,Master,Santiago,21,no,373.58
1183,19,,4,,Valparaíso,26,Yes,139.43
1184,31,,25,PhD,santiago,51,Yes,305.73
1185,57,981.83,2,Master,Valparaiso,23,Yes,292.22
1186,57,631.44,6,High School,Concepcion,39,Yes,135.05
1187,68,,38,phd,Concepcion,55,No,218.58
1188,56,362.51,0,bachelor,santiago,51,Yes,116.84
1189,68,,16,bachelor,Concepción,47,Yes,360.67
1190,23,746.13,24,Bachelors,Santiago,32,No,189.62
1191,23,1001.64,2,Bachelors,Valparaiso,20,No,212.92
1192,20,851.51,14,Bachelors,Valparaíso,54,no,212.37
1193,24,753.71,28,High School,santiago,49,yes,264.23
1194,68,401.8,31,High School,Valparaiso,55,Yes,71.23
1195,25,446.26,25,High School,Valparaiso,44,Yes,182.5
1196,59,151.71,15,High School,Concepción,35,Yes,82.46
1197,69,659.35,24,High School,,38,no,207.94
1198,32,1369.56,27,High School,Valparaiso,20,Yes,401.58
1199,64,478.01,8,phd,Concepción,24,yes,144.26
1200,46,142.14,0,High School,Santiago,41,No,52.77
1193,24,753.71,28,High School,santiago,49,yes,264.23
835,40,722.86,31,High School,Valparaiso,51,No,256.54
94,41,621.05,37,Bachelors,Concepción,45,No,228.77
397,35,815.63,26,High School,Concepción,42,no,266.52
232,40,921.29,23,Bachelors,Concepcion,52,No,271.16
131,41,5187.150000000001,34,phd,Valparaiso,100,Yes,280.86
1168,25,778.94,0,Bachelor,Concepción,30,no,180.07
205,54,722.41,4,PhD,Concepcion,45,No,219.56
494,51,485.02,16,Master,Valparaiso,46,no,163.43
738,49,809.03,36,bachelor,Concepción,38,Yes,206.5
181,62,859.0,20,Master,santiago,28,No,240.39
748,36,,23,Bachelors,Concepción,20,No,185.94
238,19,207.1,13,phd,Valparaiso,30,No,18.23
989,31,887.82,3,Master,Valparaiso,28,No,246.47
163,21,1096.54,17,,santiago,40,Yes,305.7
4,32,1052.47,19,Bachelor,Concepción,41,no,282.51
1185,57,981.83,2,Master,Valparaiso,23,Yes,292.22
1077,55,797.73,2,Master,,45,Yes,253.8
417,50,655.07,20,bachelor,Concepción,30,no,214.42
434,18,796.61,36,Bachelor,Concepción,31,No,241.9
695,25,838.86,17,PhD,santiago,53,no,259.55
1144,18,1035.58,29,phd,,20,no,322.26
77,61,459.32,2,bachelor,Valparaíso,26,yes,155.78
1189,68,,16,bachelor,Concepción,47,Yes,360.67
742,33,685.26,26,Bachelor,Valparaíso,49,No,202.16
267,20,767.95,11,High School,Concepción,21,yes,282.51
1130,52,469.75,22,PhD,Concepción,58,No,148.68
734,55,1049.45,26,bachelor,santiago,43,No,334.44
1118,57,751.92,4,bachelor,Santiago,44,yes,190.23
35,33,960.84,24,Master,Concepcion,46,yes,254.62
103,42,,33,phd,Valparaíso,26,no,96.4
889,32,861.25,16,PhD,Santiago,21,Yes,249.3
408,39,1015.28,16,Bachelor,Concepción,53,yes,303.77
323,42,712.21,37,High School,,31,Yes,211.52
251,51,996.54,7,Master,Concepción,47,No,274.07
121,58,882.58,3,PhD,Valparaiso,36,No,251.03
637,66,534.15,12,bachelor,Santiago,24,yes,160.05
518,66,,24,Master,santiago,53,yes,140.56
1152,31,578.52,27,PhD,,59,yes,212.13
14,53,250.87,20,Bachelors,Valparaíso,50,No,96.32
373,66,891.38,17,Master,Valparaiso,36,Yes,310.6
1150,58,932.08,33,Bachelors,Concepción,55,No,298.24
283,67,754.75,35,PhD,Valparaíso,38,Yes,255.31
1014,42,1087.57,25,High School,Concepcion,47,no,333.52
231,45,1310.6,32,Bachelor,Valparaiso,26,No,427.59
255,65,915.02,4,bachelor,Concepcion,28,yes,291.93
99,46,1153.74,34,Master,Valparaiso,48,No,323.92
356,62,507.16,19,PhD,Valparaiso,40,yes,163.93
116,52,535.62,38,phd,santiago,45,No,190.48
950,22,1018.93,37,Bachelors,Valparaiso,37,no,343.36
